"Tree","MDI_1","p_1","MDI_2","p_2","MDI_3","p_3","MDI_4","p_4","MDI_5","p_5","MDI_6","p_6","MDI_7","p_7","MDI_8","p_8","MDI_9","p_9","MDI_10","p_10","MDI_11","p_11","MDI_12","p_12","MDI_13","p_13","MDI_14","p_14","MDI_15","p_15","MDI_16","p_16","MDI_17","p_17","MDI_18","p_18","MDI_19","p_19"
1,0.044,0.589,0.177,0.865,0.608,1,0.343,0.991,0.189,0.894,0.097,0.715,0.249,0.941,0.151,0.811,0.074,0.662,0.145,0.817,0.067,0.645,-0.008,0.439,0.102,0.719,0.029,0.544,0.615,1,0.079,0.682,0.024,0.521,0.099,0.721,0.031,0.539
2,-0.057,0.289,0.168,0.866,0.433,0.997,0.301,0.977,0.138,0.834,-0.007,0.455,0.2,0.901,0.057,0.637,-0.048,0.333,0.059,0.634,-0.067,0.29,-0.11,0.16,-0.037,0.36,-0.08,0.262,0.454,1,-0.052,0.31,-0.089,0.248,-0.056,0.313,-0.073,0.269
3,0.021,0.529,0.176,0.866,0.557,1,0.372,0.996,0.207,0.915,0.032,0.555,0.256,0.971,0.159,0.849,0.017,0.51,0.157,0.838,0.011,0.518,-0.066,0.282,0.055,0.617,-0.012,0.434,0.574,1,0.014,0.506,-0.025,0.406,0.035,0.573,-0.024,0.42
4,0.138,0.806,0.257,0.959,0.675,1,0.405,0.998,0.333,0.994,0.137,0.783,0.301,0.978,0.273,0.969,0.118,0.755,0.284,0.965,0.13,0.786,0.055,0.608,0.152,0.826,0.098,0.68,0.642,1,0.132,0.796,0.088,0.682,0.143,0.807,0.099,0.708
5,-0.08,0.226,0.116,0.791,0.282,0.985,0.25,0.968,0.053,0.613,-0.004,0.448,0.186,0.915,-0.012,0.431,-0.053,0.304,0.002,0.462,-0.054,0.284,-0.146,0.092,-0.095,0.198,-0.103,0.169,0.29,0.98,-0.109,0.171,-0.11,0.165,-0.092,0.197,-0.097,0.195
6,-0.081,0.267,0.149,0.83,0.374,0.995,0.247,0.955,0.094,0.729,-0.026,0.394,0.19,0.895,0.032,0.563,-0.069,0.277,0.037,0.576,-0.075,0.297,-0.113,0.178,-0.039,0.364,-0.101,0.213,0.445,0.998,-0.057,0.319,-0.113,0.202,-0.049,0.339,-0.091,0.232
7,0.085,0.666,0.244,0.923,0.537,1,0.389,0.987,0.266,0.939,0.104,0.712,0.288,0.959,0.191,0.875,0.079,0.661,0.197,0.878,0.071,0.644,-0.04,0.367,0.049,0.6,0.017,0.526,0.55,0.999,0.019,0.526,0.001,0.474,0.049,0.613,-0.002,0.471
8,-0.068,0.304,0.168,0.856,0.316,0.978,0.235,0.93,0.109,0.717,-0.017,0.426,0.194,0.878,0.03,0.548,-0.045,0.351,0.034,0.553,-0.06,0.318,-0.128,0.149,-0.044,0.345,-0.117,0.188,0.382,0.992,-0.064,0.309,-0.121,0.161,-0.066,0.276,-0.1,0.239
9,0.066,0.632,0.244,0.929,0.611,1,0.372,0.989,0.265,0.944,0.097,0.704,0.296,0.971,0.174,0.849,0.06,0.619,0.18,0.868,0.062,0.619,-0.008,0.456,0.112,0.734,0.013,0.514,0.63,1,0.061,0.626,-0.004,0.473,0.09,0.71,-0.004,0.486
10,0.071,0.667,0.2,0.897,0.609,0.999,0.332,0.993,0.217,0.932,0.089,0.707,0.235,0.933,0.184,0.88,0.073,0.663,0.19,0.896,0.08,0.691,0.024,0.551,0.11,0.765,0.047,0.59,0.554,1,0.094,0.705,0.048,0.594,0.099,0.742,0.046,0.608
