"Sample","K_bio1","K_bio2","K_bio3","K_bio4","K_bio5","K_bio6","K_bio7","K_bio8","K_bio9","K_bio10","K_bio11","K_bio12","K_bio13","K_bio14","K_bio15","K_bio16","K_bio17","K_bio18","K_bio19","P_bio1","P_bio2","P_bio3","P_bio4","P_bio5","P_bio6","P_bio7","P_bio8","P_bio9","P_bio10","P_bio11","P_bio12","P_bio13","P_bio14","P_bio15","P_bio16","P_bio17","P_bio18","P_bio19"
"1",0.936082933188132,0.733565638239753,0.399583406569749,0.580345702193126,0.864098358546583,0.813900847002486,0.713226658386367,0.934136933738389,0.814270578412386,0.927177499509717,0.841195399859894,1.01924048364561,0.970359378121196,0.87718887418881,0.521357076538917,0.969173524967478,0.891689700243209,0.989696117806158,0.888199670487225,0.001,0.001,0.008,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001
"2",1.05750407332274,0.784665287497015,0.433726583293438,0.617551850651616,0.931049299994816,0.902228525532964,0.758671656210334,1.04117134139527,0.898780248231362,1.03040343037064,0.934545205738229,1.21120195530989,1.19905172136203,0.980984961818195,0.581002103713254,1.18164834202752,1.00286750803081,1.2040755497612,0.995094027287459,0.001,0.001,0.026,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
"3",1.04847846742806,0.805114858350194,0.474286765665007,0.590697451428903,0.962408589957165,0.895712038265334,0.738231284047208,1.01427226317278,0.914318623576941,1.00944745825825,0.938296347580982,1.12777311470304,1.07631054401576,0.943418922312253,0.558560949649884,1.07793857852192,0.958990588781255,1.10879032642675,0.953794684119005,0.001,0.001,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.001,0.001,0.001
"4",1.02125016116108,0.760973065854644,0.453526970701203,0.572916769105104,0.93953873698832,0.873639871633747,0.712867129185872,1.00781055457465,0.883353563140714,1.00001489330888,0.903120507369881,0.992321199177434,0.967731275663549,0.877225395083914,0.540972072268273,0.95626322222627,0.883098049394995,0.996284053181804,0.87475651668102,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"5",1.02647141843595,0.795942789558341,0.444827112353325,0.661016517165587,0.935339781815454,0.89631320430213,0.780884343002219,1.01679485524031,0.894193726709162,1.00696171062093,0.927993088354506,1.29048380074578,1.22141104218357,1.06463157416138,0.590438404821015,1.21393830391937,1.09155653467931,1.22223972793054,1.07639535602582,0.001,0.001,0.012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"6",1.08629050425383,0.757264133965808,0.478498669905077,0.628413471245462,0.932807463363498,0.949007994556663,0.751805708047216,1.02635267850072,0.959224425195445,1.02202290196116,0.988231655308879,1.21342095640628,1.17330319730433,1.03319947126774,0.572467409393154,1.15949277094972,1.05011180106847,1.19241797394501,1.03857881450095,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001
"7",0.840657922363148,0.673739145622713,0.328484082583476,0.480756580892472,0.797116381667997,0.704817281307056,0.629849068657878,0.875274934363678,0.682905286758083,0.864322544309404,0.714481178287914,0.95097245345569,0.938030481736771,0.770964469802471,0.457406866479575,0.922926542948413,0.786376229895924,0.951994784808569,0.777406444656621,0.001,0.001,0.0740000000000001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001
"8",1.03534370151588,0.794303218677648,0.481448760798839,0.674890250185107,0.943190428728002,0.913329081885099,0.799658778207135,1.01475836461135,0.915032194248262,1.0097957335008,0.944687739147012,1.21067864122264,1.18088056190509,1.03280366547702,0.622242761943928,1.17248803140398,1.04477357353014,1.18726333275407,1.04601141343998,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"9",0.89905291012944,0.645391092962202,0.340922136193462,0.49115599762174,0.802905945784708,0.761311253367711,0.621464187798948,0.889375796326987,0.758990750289492,0.884359101806738,0.785727046017247,1.03348701524305,0.967627064229103,0.823000229780742,0.446986494994529,0.971864779161884,0.84371857193466,0.979602414984816,0.847210081920715,0.001,0.001,0.057,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.001,0.001,0.001
"10",0.927745477032694,0.727066406089502,0.355967747361922,0.555571595536911,0.868993911085542,0.81245574695512,0.710687862672939,0.949597855001491,0.789096798644843,0.937417389376965,0.81714113581247,0.94600824989437,0.915060358833088,0.809487445365119,0.474690272987093,0.898523275088515,0.825769853543154,0.946949607239542,0.807795297044651,0.001,0.001,0.051,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.001
