"","K_MCC","P_MCC","Mean_K","Mean_P","Min_K","Min_P","Max_K","Max_P"
"bio1",0.970327756700697,0.001,0.975370745383347,0.001,0.721625350416688,0.001,1.23235084438164,0.001
"bio2",0.749417747738283,0.001,0.740457389488877,0.001002,0.540175368541216,0.001,0.93505889589036,0.002
"bio3",0.410876720194023,0.016,0.404536652582037,0.03783,0.282972477218859,0.001,0.567880179699684,0.317
"bio4",0.577984626353485,0.001,0.57929004155069,0.001293,0.42783502990373,0.001,0.754193080285437,0.008
"bio5",0.885166238643949,0.001,0.883591297017824,0.001011,0.664550937491752,0.001,1.10462205727457,0.002
"bio6",0.843746247337318,0.001,0.846831365995179,0.001,0.634216599638535,0.001,1.12011455866402,0.001
"bio7",0.717534957045616,0.001,0.717697246864484,0.001,0.537474249153548,0.001,0.899193424614789,0.001
"bio8",0.964904943367157,0.001,0.967958849555728,0.001,0.726167508284405,0.001,1.20873316051904,0.001
"bio9",0.835974255995323,0.001,0.83894621468947,0.001,0.619468471558921,0.001,1.12824803204441,0.001
"bio10",0.956812524964096,0.001,0.960435473944004,0.001,0.723350040747641,0.001,1.19614583534364,0.001
"bio11",0.864356698623031,0.001,0.868362198047812,0.001,0.641329152578651,0.001,1.16712264264457,0.001
"bio12",1.07596379208017,0.001,1.09968546964453,0.001,0.784696267487094,0.001,1.69188749005447,0.001
"bio13",1.04484367074924,0.001,1.06401276963704,0.001,0.76174778373607,0.001,1.61459173659927,0.001
"bio14",0.893796606822335,0.001,0.910045927191841,0.001,0.645559105556201,0.001,1.36659857944274,0.001
"bio15",0.538114502975167,0.001,0.533801587309512,0.00355,0.377012244157501,0.001,0.75336615088533,0.049
"bio16",1.03816846299406,0.001,1.05656394457684,0.001,0.758203942334607,0.001,1.6236840001897,0.001
"bio17",0.910355178195101,0.001,0.927870253741147,0.001,0.659537261175859,0.001,1.39463282594031,0.001
"bio18",1.06039583264366,0.001,1.07890951658786,0.001,0.754489471569806,0.001,1.5126232007826,0.001
"bio19",0.907622245992265,0.001,0.923338388965633,0.001,0.665695866199721,0.001,1.43604564735706,0.001
