"","No_Sequences","No_Unique_Sites","No_Unique_Sites_Seqs","Mean_Bio1","Mean_Bio2","Mean_Bio3","Mean_Bio4","Mean_Bio5","Mean_Bio6","Mean_Bio7","Mean_Bio8","Mean_Bio9","Mean_Bio10","Mean_Bio11","Mean_Bio12","Mean_Bio13","Mean_Bio14","Mean_Bio15","Mean_Bio16","Mean_Bio17","Mean_Bio18","Mean_Bio19","SD_Bio1","SD_Bio2","SD_Bio3","SD_Bio4","SD_Bio5","SD_Bio6","SD_Bio7","SD_Bio8","SD_Bio9","SD_Bio10","SD_Bio11","SD_Bio12","SD_Bio13","SD_Bio14","SD_Bio15","SD_Bio16","SD_Bio17","SD_Bio18","SD_Bio19","SE_Bio1","SE_Bio2","SE_Bio3","SE_Bio4","SE_Bio5","SE_Bio6","SE_Bio7","SE_Bio8","SE_Bio9","SE_Bio10","SE_Bio11","SE_Bio12","SE_Bio13","SE_Bio14","SE_Bio15","SE_Bio16","SE_Bio17","SE_Bio18","SE_Bio19"
"A_97.5_1",190,103,103,-9.54110037331442,21.5139158526671,5.04077669902913,746.108745211999,11.1915858752519,-31.7773462795517,42.9598702588128,-0.0430420847772412,-17.3569579205467,0.217475720748161,-17.6896439855538,227.631067887093,395.087377566736,123.595469891446,9199.77670495487,354.731391314164,137.216828846237,347.543688320419,139.508090093298,14.2101833122621,4.919758135503,0.186641729121947,180.990357779039,18.4569202292565,10.1285272845327,10.3839372240312,15.202734308928,11.791359474898,15.3904435248394,11.6529929890998,203.630628979594,326.681157573809,116.385297774789,7295.69866899209,298.36028587943,126.817004916853,291.129329753537,128.278867750493,0.520340999694067,0.313782775065135,0.0376861115898666,15.2917028730873,0.635567140822028,0.754748051229554,0.695869443425293,0.477000200129591,0.610011917234999,0.495398470265237,0.590204514679647,10.6371979032186,13.2742567260535,9.51314972696698,389.614301239568,12.6857418966625,10.026672716326,12.3084278229773,10.7295998254358
"A_97.5_2",224,131,131,7.54961834006182,28.7412213740458,4.88346056756172,1033.68881015923,35.4549619135966,-23.8819338718443,59.3310432026404,19.6012722976335,-4.9473282298969,19.8926209020251,-5.34198473029919,506.687023599639,881.157759571803,262.162851115219,21600.152619573,801.590330633498,286.129771691242,790.809158907592,289.254452304986,4.11947712391134,1.92058952044626,0.286278037738935,125.557638344779,4.49377724740269,6.68480907041093,5.40726684346748,4.04004403337005,5.21358834799832,4.09174751969762,4.98926639930178,54.0661782294389,106.768865191437,36.4554847464739,4441.05060935094,103.723025535066,40.9263785981484,104.226043909241,43.3581161381977,0.479226514221178,0.288989385048505,0.0347083622132035,14.0834365707952,0.585348119077178,0.695112009083704,0.640885665211471,0.439310266393207,0.561812128780516,0.456254806358324,0.543569798293475,9.79670499775609,12.2253979283658,8.76147292948077,358.829120871766,11.6833843057177,9.23442015506486,11.3358835160335,9.88180582801456
"A_97.5_3",105,36,36,13.3416667090522,17.6861111534966,4.87962963316176,614.327776760525,32.4990740458171,-3.8907407257292,36.3814816792806,20.4629630406698,6.80277780294418,21.0111110475328,6.16111111773385,714.231486850315,1000.44444953071,481.990743637085,17739.2222086589,941.629628499349,518.620372772217,926.555553860135,533.388885498047,5.29104886295935,5.84187611920321,0.720373687044355,243.581483077146,6.43669293365443,10.4004720169114,11.5785285418575,4.43896021465035,7.33428728476242,4.68742303089714,7.13375836625438,128.612595472127,142.356165398602,135.590316996002,4988.3621050193,140.346984536054,136.431509567912,140.037299660571,144.214971579827,0.699955125316025,0.422096013521632,0.0506948077819507,20.5701757253807,0.854955650164775,1.01527607298101,0.936073428314737,0.641653713725768,0.820579136034897,0.666402798433615,0.793934506943652,14.3090035106523,17.8563365862476,12.7969502945266,524.103476776571,17.0646750193158,13.4877339317583,16.5571176292867,14.4333012290389
"A_97.5_4",97,49,49,7.42312920756486,24.5448979436135,4.8129251519028,905.618378308355,31.9863945785834,-19.9421767059638,51.9217685621612,17.5142857687814,-3.47891156868059,17.9809523212666,-3.89183669333555,562.244900450415,919.394556162309,313.013604611767,20996.6325035874,844.673465028101,341.646260475626,826.843538868184,347.387753233618,5.3316455909299,5.0151139370428,0.554560903799936,261.818833422616,5.31608299929675,11.6321806624221,11.7029782990564,3.77285021580579,8.37825298066669,4.0312264449884,7.99010819972712,107.899576700432,142.4437253218,110.040960776858,5978.75265601826,137.867797807972,117.028674922347,134.480238311861,123.301971133543,0.728247462988691,0.439157225752128,0.0527439028855408,21.401626680677,0.889513142602157,1.05631375161047,0.973909718903128,0.66758949572244,0.853747122330249,0.693338943791192,0.826025511563826,14.8873765297797,18.5780935761215,13.3142057953698,545.287852751654,17.7544328772968,14.0329110567406,17.2263599077004,15.0166983888481
"A_97.5_5",38,19,19,9.32456145035593,20.5578945762233,4.67894730818899,765.345620888158,30.9052629972759,-13.2157895941483,44.1228069104646,18.3438598030492,0.29298240511041,18.573683909366,-0.128070196352506,638.315789473684,1019.45614784642,331.228068301552,23958.2985711349,949.877189234683,371.473689029091,942.315784655119,377.701758936832,4.09564413830091,2.29843869195807,0.454770404822045,74.7747902680694,6.16806049365542,5.23952646093448,2.99538882872281,4.04036814409339,4.36294127506182,4.1469247445466,4.16827019917718,96.371925602558,170.727030637026,61.6591639189173,6285.23076563319,161.175786667852,66.2912849844913,160.882881622863,69.4605229564893,1.16351784679613,0.701639615214168,0.0842687073225845,34.193287115952,1.42117133114324,1.68766794843478,1.5560113789639,1.06660487277077,1.36402811402243,1.10774465546248,1.31973741545096,23.785497601715,29.6821403902394,21.2720494696317,871.204062577755,28.3661812259545,22.4203217818474,27.5224813083269,23.9921145810443
"A_97.5_6",38,14,14,12.7738094329834,13.5500000817435,4.55714285714286,513.923814174107,28.4666665554047,-0.673809514726911,29.135714667184,19.0357143947056,7.33095250810897,19.2904760633196,6.87380948747907,776.142854418073,1074.57144056048,543.595230783735,18333.3332519531,1017.1190436227,576.880950927734,1004.0952268328,590.642852783203,11.8170830375197,7.00265835154012,0.752594203613482,243.231532734995,10.5417931510395,16.6961849609494,13.3442424979095,10.3303756930313,13.2759889787336,10.3853563649386,13.1666775219035,296.9659028743,379.627315027149,243.642344158304,7769.45717170753,367.522130957612,252.300884204028,362.549900102138,261.439514719991,1.16351784679613,0.701639615214168,0.0842687073225845,34.193287115952,1.42117133114324,1.68766794843478,1.5560113789639,1.06660487277077,1.36402811402243,1.10774465546248,1.31973741545096,23.785497601715,29.6821403902394,21.2720494696317,871.204062577755,28.3661812259545,22.4203217818474,27.5224813083269,23.9921145810443
"A_97.5_7",89,21,21,6.62539686773505,27.8111111958822,5.01587297348749,958.174615769159,32.8603177751813,-22.8809523446219,55.7333338419596,17.7492066156297,-4.8015872433072,18.106349109468,-5.23333327883766,490.015870593843,819.380943661644,282.793650309245,18442.0792875744,742.999997093564,305.158732096354,729.682547433036,308.603169759115,3.37474126928493,4.75615785093342,0.135654391747117,193.822398963757,3.4535429305416,8.41496408620055,9.69411610546897,2.46169827914377,5.63057602591997,2.52620988508655,5.50134324376706,64.2299283868336,32.3172259863304,83.878311818404,2385.59498064361,36.9462009934668,85.7940479158393,31.1381220043383,87.9810312442857,0.760273484448957,0.458469972381754,0.0550634130130161,22.3428025723815,0.928631118897267,1.10276709143951,1.01673918984965,0.696947971519817,0.891292222108803,0.723829798921626,0.862351502527808,15.5420762911398,19.3950994069663,13.8997224805622,569.267888881925,18.5352167141668,14.6500341275286,17.9839207645857,15.6770853167887
"A_97.5_8",43,9,9,17.3925923665364,18.562963019477,6.18888893127441,247.137036132812,31.8666666666667,1.79259258906047,30.0592597113715,18.6407407972548,15.2592592027452,20.2962965223524,14.374073961046,1091.66666666667,1304.29630533854,847.444451226129,15566.7037760417,1264.44445800781,901.888888888889,1159.00002034505,946.51852077908,0.41725874252098,0.764025321105507,0.0763762823935534,13.0924751148507,1.26150238271026,0.664951464836376,1.53276999286914,0.641347874381597,0.627777841168697,0.495379852542333,0.458795958523787,42.0535483128495,35.6430709181242,42.7596723633481,385.133331062928,36.6878819443223,42.497055171097,79.3872525427924,24.8373114585381,1.09378161623831,0.659586369439029,0.0792180052479758,32.1438892829803,1.33599246441276,1.58651642636644,1.46275078259847,1.00267718698025,1.28227416473085,1.04135122891965,1.24063805919004,22.3598976856903,27.9031211930666,19.9970947705384,818.987856751494,26.6660349329989,21.0765446036418,25.8729027416329,22.5541309363581
"A_97.5_9",7,6,6,9.66111094156901,18.1722220102946,4.53333339691162,797.261100260417,29.3722221374512,-11.7000000317892,41.088889058431,18.9499997456868,0.777777608235684,19.261110941569,0.22222210566204,689.44443766276,1123.88888549805,375.666664759318,27038.9443359375,1052.72220865885,403,1034.44442749023,413.77778116862,9.68073495161983,5.59207407412641,0.976615471653614,444.893584402649,6.98390014185209,18.0219372817637,15.149282831205,6.07584443651472,14.6559156063745,6.2175525211169,14.2600716177404,202.732307353601,230.581147411951,186.04682901144,7678.63778038969,229.742296405175,191.683421807844,211.778443046416,200.281655068481,2.71091454344149,1.63477083086982,0.196340146278681,79.6679480129595,3.31122899483411,3.93214732245833,3.62539679869026,2.48511414729204,3.17808932810842,2.58096694019941,3.07489512337216,55.4185322975798,69.1572942228113,49.5623753729457,2029.84403724506,66.0912021582519,52.2377688957768,64.1254408394245,55.8999352908627
"A_97.5_10",38,25,25,10.5760000305176,23.8946668701172,4.87333332824707,867.874672851563,34.5933331298828,-15.5453332366943,50.1359998779297,20.0786666870117,0.693333309173582,20.7253334960938,-0.142666641235348,609.053338623047,974.693327636718,357.039998779297,21160.6799804688,895.386669921875,390.106666259766,866.146662597656,400.546666259766,6.75546770005453,4.84622497230864,0.636759759755472,261.591218974478,5.54095882092188,13.6788288029099,11.7569400816298,4.85286177681367,10.5093784657574,5.06583784334644,9.75150273839114,113.682377091135,141.545758278473,135.33905703204,6331.37751505949,132.226224847928,141.67652657426,130.661415158748,150.365537113191,1.16351784679613,0.701639615214168,0.0842687073225845,34.193287115952,1.42117133114324,1.68766794843478,1.5560113789639,1.06660487277077,1.36402811402243,1.10774465546248,1.31973741545096,23.785497601715,29.6821403902394,21.2720494696317,871.204062577755,28.3661812259545,22.4203217818474,27.5224813083269,23.9921145810443
