"","ModMeanVal","ModMinVal","ModMaxVal","Age","NodeNo","AncVal","ValChangeMean","AbsValChangeMean","RateMean","AbsRateMean","ValChangeMin","AbsValChangeMin","RateMin","AbsRateMin","ValChangeMax","AbsValChangeMax","RateMax","AbsRateMax"
"A_97.5_1",-9.54110037331442,-33.5,14.133332824707,27.2839123404,127,-2.53461549211743,7.00648488119699,7.00648488119699,0.256799127404551,0.256799127404551,30.9653845078826,30.9653845078826,1.13493197462122,1.13493197462122,-16.6679483168244,16.6679483168244,-0.610907560062189,0.610907560062189
"A_97.5_2",7.54961834006182,-3.4,18.366667175293,21.700426269,100,7.82081535175453,0.271197011692709,0.271197011692709,0.0124973126486518,0.0124973126486518,11.2208153517545,11.2208153517545,0.51707810771367,0.51707810771367,-10.5458518235385,10.5458518235385,-0.485974408650381,0.485974408650381
"A_97.5_3",13.3416667090522,-5.56666679382324,24.433332824707,27.3945961464,124,14.8020942197985,1.46042751074635,1.46042751074635,0.0533107881182715,0.0533107881182715,20.3687610136218,20.3687610136218,0.743532078544567,0.743532078544567,-9.63123860490845,9.63123860490845,-0.351574396404238,0.351574396404238
"A_97.5_4",7.42312920756486,-4.26666679382324,21.633332824707,21.992825628,104,4.92982790141655,-2.49330130614831,2.49330130614831,-0.113368848019873,0.113368848019873,9.19649469523979,9.19649469523979,0.418158851017822,0.418158851017822,-16.7035049232904,16.7035049232904,-0.75949790198966,0.75949790198966
"A_97.5_5",9.32456145035593,-4.26666679382324,13.3,9.20005212100003,119,14.9051669963447,5.58060554598879,5.58060554598879,0.60658412284975,0.60658412284975,19.171833790168,19.171833790168,2.08388317131447,2.08388317131447,1.60516699634471,1.60516699634471,0.17447368506541,0.17447368506541
"A_97.5_6",12.7738094329834,-23.866667175293,23.333332824707,55.609197967,109,9.73477811852934,-3.03903131445406,3.03903131445406,-0.0546497958171866,0.0546497958171866,33.6014452938223,33.6014452938223,0.604242580764469,0.604242580764469,-13.5985547061777,13.5985547061777,-0.244537867894577,0.244537867894577
"A_97.5_7",6.62539686773505,-0.0333333343267441,14.4,28.584368341,92,7.6125112861442,0.987114418409149,0.987114418409149,0.0345333647619311,0.0345333647619311,7.64584462047094,7.64584462047094,0.267483420632532,0.267483420632532,-6.7874887138558,6.7874887138558,-0.237454563728111,0.237454563728111
"A_97.5_8",17.3925923665364,17.033332824707,18.433332824707,29.6043704894,126,7.53140458272899,-9.86118778380741,9.86118778380741,-0.333099053308303,0.333099053308303,-9.50192824197801,9.50192824197801,-0.320963698430278,0.320963698430278,-10.901928241978,10.901928241978,-0.368254013233671,0.368254013233671
"A_97.5_9",9.66111094156901,-6.63333358764648,22.433332824707,29.6043704894,126,7.53140458272899,-2.12970635884002,2.12970635884002,-0.0719389172488085,0.0719389172488085,14.1647381703755,14.1647381703755,0.478467805131922,0.478467805131922,-14.901928241978,14.901928241978,-0.503369198386222,0.503369198386222
"A_97.5_10",10.5760000305176,1.26666669845581,22.433332824707,12.687504122,95,8.71324495560239,-1.86275507491521,1.86275507491521,-0.146818086284222,0.146818086284222,7.44657825714658,7.44657825714658,0.58692223352537,0.58692223352537,-13.7200878691046,13.7200878691046,-1.08138588466065,1.08138588466065
"A_97.5_11",9.85757568234746,-0.0333333343267441,17.3,31.572329582,98,8.28425742403727,-1.57331825831019,1.57331825831019,-0.0498321878410635,0.0498321878410635,8.31759075836401,8.31759075836401,0.26344558252382,0.26344558252382,-9.01574257596273,9.01574257596273,-0.285558357439129,0.285558357439129
"A_97.5_12",22.211110941569,20.633332824707,25.366667175293,10.417973479,114,17.4347549742001,-4.77635596736895,4.77635596736895,-0.458472655646213,0.458472655646213,-3.19857785050695,3.19857785050695,-0.307024956144731,0.307024956144731,-7.93191220109295,7.93191220109295,-0.761368054649176,0.761368054649176
"A_97.5_13",8.42666678237915,1.26666669845581,19.566667175293,12.687504122,95,8.71324495560239,0.286578173223235,0.286578173223235,0.0225874348861343,0.0225874348861343,7.44657825714658,7.44657825714658,0.58692223352537,0.58692223352537,-10.8534222196906,10.8534222196906,-0.855441867472649,0.855441867472649
"A_97.5_14",14.6666666242811,6.26666679382324,23.533332824707,41.8348673094,122,10.8288911919427,-3.83777543233845,3.83777543233845,-0.0917362879139842,0.0917362879139842,4.56222439811941,4.56222439811941,0.109053158084102,0.109053158084102,-12.7044416327643,12.7044416327643,-0.303680696267196,0.303680696267196
"A_97.5_15",8.84814831415813,1.43333330154419,18.366667175293,28.75794272,99,8.19764640676066,-0.650501907397475,0.650501907397475,-0.0226199041333049,0.0226199041333049,6.76431310521647,6.76431310521647,0.235215473202544,0.235215473202544,-10.1690207685323,10.1690207685323,-0.353607379621776,0.353607379621776
"A_97.5_16",20.633332824707,20.633332824707,20.633332824707,9.20005212100003,119,14.9051669963447,-5.72816582836229,5.72816582836229,-0.622623193110741,0.622623193110741,-5.72816582836229,5.72816582836229,-0.622623193110741,0.622623193110741,-5.72816582836229,5.72816582836229,-0.622623193110741,0.622623193110741
"A_97.5_17",13.8,13.8,13.8,90.794992199,84,9.66646381206973,-4.13353618793027,4.13353618793027,-0.0455260371504916,0.0455260371504916,-4.13353618793027,4.13353618793027,-0.0455260371504916,0.0455260371504916,-4.13353618793027,4.13353618793027,-0.0455260371504916,0.0455260371504916
"A_97.5_18",13.4333332061767,12.1666664123535,14.7,22.397873324,112,15.3593062649562,1.92597305877952,1.92597305877952,0.0859891040063962,0.0859891040063962,3.19263985260272,3.19263985260272,0.142542097922382,0.142542097922382,0.659306264956225,0.659306264956225,0.0294361100904057,0.0294361100904057
"A_97.5_19",20.633332824707,20.633332824707,20.633332824707,34.270281401,116,15.4700797375719,-5.16325308713507,5.16325308713507,-0.150662698876596,0.150662698876596,-5.16325308713507,5.16325308713507,-0.150662698876596,0.150662698876596,-5.16325308713507,5.16325308713507,-0.150662698876596,0.150662698876596
"A_97.5_21",-4.26666679382324,-4.26666679382324,-4.26666679382324,27.2839123404,127,-2.53461549211743,1.73205130170581,1.73205130170581,0.0634825123353411,0.0634825123353411,1.73205130170581,1.73205130170581,0.0634825123353411,0.0634825123353411,1.73205130170581,1.73205130170581,0.0634825123353411,0.0634825123353411
"A_97.5_22",6.26666679382324,6.26666679382324,6.26666679382324,12.75261137,113,15.6475952409835,9.38092844716029,9.38092844716029,0.735608431480045,0.735608431480045,9.38092844716029,9.38092844716029,0.735608431480045,0.735608431480045,9.38092844716029,9.38092844716029,0.735608431480045,0.735608431480045
"A_97.5_25",-4.26666679382324,-4.26666679382324,-4.26666679382324,45.579602293,102,5.13382858413279,9.40049537795602,9.40049537795602,0.206243470873806,0.206243470873806,9.40049537795602,9.40049537795602,0.206243470873806,0.206243470873806,9.40049537795602,9.40049537795602,0.206243470873806,0.206243470873806
"A_97.5_26",12.7333335876465,7.1,18.366667175293,42.524911515,97,9.49047210662505,-3.24286148102146,3.24286148102146,-0.0762579242493564,0.0762579242493564,2.39047210662505,2.39047210662505,0.0562134528082873,0.0562134528082873,-8.87619506866795,8.87619506866795,-0.208729301307,0.208729301307
"A_97.5_28",6.84444452921549,6.8,6.93333358764648,18.069423905,94,8.04464555455568,1.20020102534019,1.20020102534019,0.0664216541518005,0.0664216541518005,1.24464555455568,1.24464555455568,0.0688813080649057,0.0688813080649057,1.1113119669092,1.1113119669092,0.0615023463255895,0.0615023463255895
"A_97.5_29",7.89999980926514,7.06666641235352,10.4,24.904776217,106,8.20800190305621,0.308002093791066,0.308002093791066,0.0123671897754626,0.0123671897754626,1.14133549070269,1.14133549070269,0.0458279761583888,0.0458279761583888,-2.1919980969438,2.1919980969438,-0.0880151693733163,0.0880151693733163
"A_97.5_30",6.15833339691163,3.5,10.6333335876465,25.506746066,93,7.61470141776689,1.45636802085526,1.45636802085526,0.0570973662060551,0.0570973662060551,4.11470141776689,4.11470141776689,0.161318162933049,0.161318162933049,-3.01863216987961,3.01863216987961,-0.118346423415544,0.118346423415544
"A_97.5_31",15.266667175293,15.266667175293,15.266667175293,42.524911515,97,9.49047210662505,-5.77619506866795,5.77619506866795,-0.135830854501143,0.135830854501143,-5.77619506866795,5.77619506866795,-0.135830854501143,0.135830854501143,-5.77619506866795,5.77619506866795,-0.135830854501143,0.135830854501143
"A_97.5_32",11.3499997138977,2.06666660308838,20.633332824707,20.304735013,118,14.4383949243941,3.08839521049642,3.08839521049642,0.152102216971514,0.152102216971514,12.3717283213057,12.3717283213057,0.609302623914313,0.609302623914313,-6.19493790031288,6.19493790031288,-0.305098189971285,0.305098189971285
